BillingItemID,BillingID,ItemType,ItemName,Quantity,UnitPrice,TotalPrice,ServiceDate
1,1,Room Charge,Deluxe Room,2,212.42,424.84,5/21/2022
2,1,Guest Service,Laundry Service,1,13.04,13.04,5/22/2022
3,1,Wellness,Gym Access,1,11.36,11.36,5/22/2022
4,1,Business,Business Center,1,11.57,11.57,5/23/2022
5,1,Business,Business Center,1,19.41,19.41,5/23/2022
6,1,Wellness,Gym Access,2,12.02,24.04,5/23/2022
7,2,Room Charge,Suite,1,374.52,374.52,11/5/2025
8,2,F&B,Restaurant - Breakfast,3,34.15,102.45,11/7/2025
9,2,F&B,Restaurant - Lunch,4,37.19,148.76,11/8/2025
10,3,Room Charge,Deluxe Room,6,291.32,1747.9,2/22/2021
11,3,F&B,Restaurant - Dinner,1,51.47,51.47,2/24/2021
12,3,F&B,Restaurant - Breakfast,4,24.55,98.21,2/24/2021
13,3,Wellness,Spa Treatment,2,117.58,235.17,2/26/2021
14,3,F&B,Restaurant - Breakfast,3,29.19,87.57,2/26/2021
15,3,Guest Service,Laundry Service,2,24.02,48.04,2/27/2021
16,3,F&B,Restaurant - Breakfast,2,29.39,58.79,2/27/2021
17,3,Wellness,Gym Access,1,14.52,14.52,2/27/2021
18,4,Room Charge,Standard Room,6,248.5,1491,10/29/2024
19,4,Wellness,Massage Therapy,2,93.79,187.58,10/29/2024
20,4,Technology,WiFi Access,1,5.23,5.23,10/31/2024
21,4,Wellness,Gym Access,1,10.7,10.7,11/2/2024
22,4,F&B,Restaurant - Breakfast,4,24.91,99.66,11/2/2024
23,4,Wellness,Massage Therapy,1,77.23,77.23,11/4/2024
24,5,Room Charge,Suite,2,449.05,898.11,2/4/2024
25,5,F&B,Restaurant - Lunch,4,45.28,181.1,2/6/2024
26,5,Guest Service,Laundry Service,2,13.9,27.81,2/7/2024
27,5,Business,Business Center,1,11.42,11.42,2/7/2024
28,5,Transportation,Airport Transfer,1,27.94,27.94,2/7/2024
29,5,F&B,Restaurant - Lunch,1,38.53,38.53,2/7/2024
30,6,Room Charge,Deluxe Room,7,280.23,1961.62,4/27/2020
31,6,Guest Service,Laundry Service,1,20,20,4/27/2020
32,6,Business,Business Center,1,15.61,15.61,4/28/2020
33,6,Guest Service,Laundry Service,2,24.68,49.37,4/29/2020
34,7,Room Charge,Deluxe Room,6,291.39,1748.36,10/23/2022
35,7,F&B,Room Service,4,53.73,214.92,10/24/2022
36,7,Transportation,Airport Transfer,1,28.39,28.39,10/25/2022
37,8,Room Charge,Standard Room,6,184.76,1108.57,11/16/2020
38,8,Business,Business Center,1,12.44,12.44,11/18/2020
39,8,Wellness,Gym Access,2,11.89,23.78,11/20/2020
40,8,Guest Service,Laundry Service,1,14.74,14.74,11/20/2020
41,8,F&B,Restaurant - Breakfast,3,24.27,72.82,11/22/2020
42,9,Room Charge,Suite,6,343.45,2060.73,10/7/2024
43,9,F&B,Restaurant - Lunch,2,45.69,91.39,10/9/2024
44,9,Guest Service,Laundry Service,2,12.31,24.61,10/11/2024
45,9,Wellness,Massage Therapy,2,59.74,119.47,10/13/2024
46,9,Wellness,Massage Therapy,2,79.36,158.71,10/13/2024
47,10,Room Charge,Deluxe Room,7,258.18,1807.29,5/30/2020
48,10,Wellness,Gym Access,1,8.78,8.78,5/30/2020
49,10,F&B,Restaurant - Dinner,4,69.19,276.75,5/30/2020
50,10,F&B,Restaurant - Lunch,2,40.74,81.49,5/30/2020
51,10,Wellness,Massage Therapy,1,93.07,93.07,5/30/2020
52,10,Wellness,Gym Access,2,8.53,17.06,6/1/2020
53,10,F&B,Restaurant - Lunch,1,49.63,49.63,6/3/2020
54,11,Room Charge,Standard Room,6,176.8,1060.79,4/8/2024
55,11,F&B,Restaurant - Breakfast,2,26.91,53.82,4/8/2024
56,11,F&B,Room Service,4,30.49,121.95,4/10/2024
57,11,Wellness,Gym Access,1,11.93,11.93,4/11/2024
58,11,F&B,Restaurant - Dinner,4,60.45,241.81,4/13/2024
59,11,Technology,WiFi Access,1,6.13,6.13,4/15/2024
60,11,Wellness,Spa Treatment,2,75.52,151.04,4/15/2024
61,12,Room Charge,Standard Room,7,260.55,1823.85,3/30/2020
62,12,F&B,Restaurant - Breakfast,1,33.27,33.27,4/1/2020
63,12,F&B,Restaurant - Lunch,4,37.56,150.22,4/2/2020
64,12,Wellness,Spa Treatment,2,99.93,199.86,4/2/2020
65,12,F&B,Bar Service,1,12.23,12.23,4/4/2020
66,13,Room Charge,Deluxe Room,3,192.03,576.1,8/24/2020
67,13,Transportation,Airport Transfer,1,25.67,25.67,8/24/2020
68,13,F&B,Restaurant - Lunch,2,47.53,95.06,8/26/2020
69,13,Transportation,Airport Transfer,1,30.53,30.53,8/27/2020
70,13,Technology,WiFi Access,1,6.69,6.69,8/28/2020
71,13,Guest Service,Laundry Service,2,17.09,34.19,8/30/2020
72,13,F&B,Room Service,1,44.2,44.2,8/31/2020
73,14,Room Charge,Suite,5,347.29,1736.45,6/9/2023
74,14,Technology,WiFi Access,1,4.57,4.57,6/10/2023
75,15,Room Charge,Standard Room,5,252.88,1264.41,7/29/2020
76,15,Technology,WiFi Access,1,4.7,4.7,7/29/2020
77,15,F&B,Restaurant - Dinner,1,59.12,59.12,7/29/2020
78,15,F&B,Restaurant - Breakfast,1,20.59,20.59,7/30/2020
79,16,Room Charge,Suite,3,509.52,1528.55,3/22/2025
80,16,Technology,WiFi Access,1,6.11,6.11,3/23/2025
81,16,Wellness,Spa Treatment,1,66.98,66.98,3/24/2025
82,16,Guest Service,Laundry Service,1,15.46,15.46,3/24/2025
83,16,F&B,Restaurant - Dinner,2,65.83,131.65,3/24/2025
84,17,Room Charge,Deluxe Room,1,214.52,214.52,1/8/2024
85,17,F&B,Restaurant - Dinner,2,57.37,114.74,1/9/2024
86,17,Wellness,Gym Access,2,10.57,21.13,1/11/2024
87,17,Business,Business Center,1,19.76,19.76,1/11/2024
88,18,Room Charge,Suite,4,519.76,2079.03,7/21/2021
89,18,F&B,Bar Service,4,22.56,90.25,7/21/2021
90,18,F&B,Restaurant - Dinner,3,77.78,233.34,7/23/2021
91,18,F&B,Restaurant - Breakfast,2,29.19,58.38,7/25/2021
92,18,Wellness,Spa Treatment,2,91.47,182.93,7/27/2021
93,19,Room Charge,Deluxe Room,1,151.78,151.78,7/17/2020
94,19,F&B,Bar Service,2,15,30,7/17/2020
95,19,Technology,WiFi Access,1,7.87,7.87,7/18/2020
96,19,Wellness,Gym Access,2,9.72,19.44,7/20/2020
97,19,Guest Service,Laundry Service,1,20.01,20.01,7/21/2020
98,19,F&B,Room Service,3,48.04,144.12,7/21/2020
99,19,Technology,WiFi Access,1,6.26,6.26,7/21/2020
100,19,F&B,Restaurant - Lunch,4,45.95,183.79,7/22/2020
101,20,Room Charge,Deluxe Room,2,298.95,597.89,2/27/2022
102,20,Wellness,Spa Treatment,1,64.61,64.61,2/27/2022
