BillingID,ReservationID,IssueDate,DueDate,TotalAmount,DiscountAmount,TaxAmount,AmountPaid,PaymentDate,PaymentMethod,Status
1,7375,2024-10-04,2024-10-11,759.10,75.31,81.33,759.10,2024-10-06,Bank Transfer,Paid
2,6783,2022-02-14,2022-02-21,1481.20,0.00,158.70,1481.20,2022-02-17,Corporate Account,Paid
3,24506,2022-06-26,2022-07-03,5932.46,0.00,635.62,5932.46,2022-06-29,Bank Transfer,Paid
4,686,2021-01-17,2021-01-24,543.01,0.00,58.18,0.00,,Corporate Account,Overdue
5,13933,2024-03-21,2024-03-28,2850.96,449.21,305.46,2850.96,2024-03-25,Bank Transfer,Paid
6,6539,2021-05-06,2021-05-13,1421.43,223.96,152.30,0.00,,Credit Card,Overdue
7,15762,2022-09-22,2022-09-29,5132.97,0.00,549.96,5132.97,2022-09-24,Corporate Account,Paid
8,6213,2024-01-17,2024-01-24,3002.37,0.00,321.68,3002.37,2024-01-18,Corporate Account,Paid
9,8336,2022-05-12,2022-05-19,5040.95,794.27,540.10,0.00,,Credit Card,Pending
10,2930,2020-06-04,2020-06-11,4162.91,0.00,446.03,4162.91,2020-06-05,Bank Transfer,Paid
11,20446,2020-02-03,2020-02-10,4538.42,0.00,486.26,4538.42,2020-02-07,Credit Card,Paid
12,11863,2025-10-28,2025-11-04,1193.99,56.11,127.93,1193.99,2025-11-01,Corporate Account,Paid
13,23128,2023-01-05,2023-01-12,5356.22,0.00,573.88,5356.22,2023-01-06,Bank Transfer,Paid
14,9587,2022-10-21,2022-10-28,2103.68,98.86,225.39,2103.68,2022-10-24,Cash,Paid
15,6157,2024-12-19,2024-12-26,905.76,202.18,97.05,0.00,,Bank Transfer,Pending
16,7127,2025-06-15,2025-06-22,2027.59,0.00,217.24,0.00,,Cash,Pending
17,14410,2022-01-10,2022-01-17,2306.24,0.00,247.10,2306.24,2022-01-10,Credit Card,Paid
18,1319,2025-02-24,2025-03-03,4037.67,0.00,432.61,4037.67,2025-02-26,Corporate Account,Paid
19,16868,2021-07-02,2021-07-09,3840.42,605.11,411.47,3840.42,2021-07-03,Bank Transfer,Paid
20,19269,2021-02-12,2021-02-19,1060.52,0.00,113.63,0.00,,Bank Transfer,Pending
21,22113,2022-06-04,2022-06-11,6079.81,0.00,651.41,6079.81,2022-06-04,Corporate Account,Paid
22,11834,2020-02-12,2020-02-19,1832.97,0.00,196.39,1832.97,2020-02-12,Bank Transfer,Paid
23,21141,2020-12-20,2020-12-27,2807.42,0.00,300.79,2807.42,2020-12-23,Bank Transfer,Paid
24,10146,2025-04-10,2025-04-17,1085.95,0.00,116.35,1085.95,2025-04-13,Bank Transfer,Paid
25,12168,2025-12-08,2025-12-15,448.44,0.00,48.05,448.44,2025-12-08,Cash,Paid
26,20315,2023-02-25,2023-03-04,1852.28,0.00,198.46,0.00,,Bank Transfer,Pending
27,5181,2023-04-25,2023-05-02,2455.91,0.00,263.13,2455.91,2023-04-26,Corporate Account,Paid
28,24040,2020-11-23,2020-11-30,2781.61,0.00,298.03,2781.61,2020-11-23,Cash,Paid
29,23281,2022-07-18,2022-07-25,1885.53,187.06,202.02,1885.53,2022-07-18,Cash,Paid
30,3235,2021-11-15,2021-11-22,2066.67,205.03,221.43,2066.67,2021-11-15,Corporate Account,Paid
31,305,2024-09-13,2024-09-20,5856.30,0.00,627.46,5856.30,2024-09-18,Credit Card,Paid
32,18252,2023-06-05,2023-06-12,1624.61,0.00,174.07,1624.61,2023-06-07,Cash,Paid
33,11849,2020-11-26,2020-12-03,610.57,0.00,65.42,610.57,2020-11-26,Credit Card,Paid
34,9359,2023-03-23,2023-03-30,5545.38,0.00,594.15,5545.38,2023-03-25,Cash,Paid
35,22431,2024-04-28,2024-05-05,1964.17,92.30,210.45,0.00,,Credit Card,Overdue
36,19126,2024-05-25,2024-06-01,4982.83,0.00,533.87,4982.83,2024-05-27,Bank Transfer,Paid
37,12027,2020-02-12,2020-02-19,452.84,0.00,48.52,452.84,2020-02-14,Corporate Account,Paid
38,24004,2025-08-07,2025-08-14,2853.27,0.00,305.71,2853.27,2025-08-07,Credit Card,Paid
39,2444,2023-11-03,2023-11-10,2296.11,227.79,246.01,2296.11,2023-11-05,Credit Card,Paid
40,1044,2025-12-20,2025-12-27,1312.79,0.00,140.66,1312.79,2025-12-22,Corporate Account,Paid
41,7607,2024-06-12,2024-06-19,2997.53,140.86,321.16,2997.53,2024-06-16,Bank Transfer,Paid
42,16820,2024-01-15,2024-01-22,1451.35,143.98,155.50,0.00,,Bank Transfer,Pending
43,14896,2020-08-01,2020-08-08,346.74,0.00,37.15,346.74,2020-08-02,Bank Transfer,Paid
44,1288,2020-10-06,2020-10-13,1316.21,0.00,141.02,1316.21,2020-10-06,Cash,Paid
45,21653,2024-06-26,2024-07-03,1990.98,197.52,213.32,1990.98,2024-06-29,Cash,Paid
46,20956,2020-06-07,2020-06-14,2683.10,0.00,287.47,2683.10,2020-06-09,Cash,Paid
47,4999,2023-10-02,2023-10-09,1750.96,0.00,187.60,1750.96,2023-10-05,Corporate Account,Paid
48,17870,2025-12-11,2025-12-18,4014.37,0.00,430.11,4014.37,2025-12-13,Corporate Account,Paid
49,512,2024-08-08,2024-08-15,1967.48,195.19,210.80,1967.48,2024-08-09,Bank Transfer,Paid
50,14243,2022-10-13,2022-10-20,5197.63,0.00,556.89,5197.63,2022-10-14,Corporate Account,Paid
51,9334,2020-12-06,2020-12-13,391.36,61.66,41.93,391.36,2020-12-06,Cash,Paid
52,13350,2022-06-09,2022-06-16,4739.73,0.00,507.83,4739.73,2022-06-14,Credit Card,Paid
53,5332,2023-12-16,2023-12-23,443.54,0.00,47.52,443.54,2023-12-21,Cash,Paid
54,15439,2020-06-26,2020-07-03,1136.16,0.00,121.73,1136.16,2020-06-26,Bank Transfer,Paid
55,2934,2022-01-10,2022-01-17,3038.61,0.00,325.57,0.00,,Bank Transfer,Pending
56,19984,2025-07-26,2025-08-02,4487.06,0.00,480.76,4487.06,2025-07-26,Cash,Paid
57,14577,2020-02-05,2020-02-12,919.35,91.20,98.50,919.35,2020-02-05,Credit Card,Paid
58,126,2024-01-18,2024-01-25,4567.23,0.00,489.35,4567.23,2024-01-19,Cash,Paid
59,8056,2021-08-16,2021-08-23,1108.35,0.00,118.75,1108.35,2021-08-17,Bank Transfer,Paid
60,19483,2021-10-11,2021-10-18,593.20,0.00,63.56,593.20,2021-10-12,Corporate Account,Paid
61,1795,2021-05-11,2021-05-18,840.13,0.00,90.01,840.13,2021-05-12,Bank Transfer,Paid
62,20381,2024-07-04,2024-07-11,1453.68,68.31,155.75,0.00,,Credit Card,Pending
63,22753,2022-07-23,2022-07-30,4836.60,0.00,518.21,4836.60,2022-07-28,Bank Transfer,Paid
64,8200,2021-05-13,2021-05-20,2341.20,0.00,250.84,0.00,,Credit Card,Overdue
65,24438,2022-10-10,2022-10-17,3452.08,162.22,369.87,0.00,,Credit Card,Pending
66,15259,2021-07-28,2021-08-04,307.00,48.37,32.89,307.00,2021-07-28,Cash,Paid
67,6168,2025-08-03,2025-08-10,5390.96,0.00,577.60,0.00,,Bank Transfer,Pending
68,6816,2020-05-22,2020-05-29,3390.71,159.34,363.29,3390.71,2020-05-23,Credit Card,Paid
69,7327,2020-10-02,2020-10-09,3874.22,864.78,415.10,3874.22,2020-10-02,Credit Card,Paid
70,19287,2022-07-02,2022-07-09,1387.42,0.00,148.65,1387.42,2022-07-06,Bank Transfer,Paid
71,9213,2023-07-15,2023-07-22,864.36,0.00,92.61,864.36,2023-07-17,Credit Card,Paid
72,6878,2024-08-26,2024-09-02,5360.66,0.00,574.36,5360.66,2024-08-29,Credit Card,Paid
73,8237,2020-01-26,2020-02-02,763.52,0.00,81.81,0.00,,Cash,Pending
