ExpenseID,HotelID,ExpenseCategoryID,ExpenseDate,Description,Amount,VendorName,PaymentMethod,Status
1,1,1,1/6/2020,Bonus payments,65166.72,Municipal Water Authority,Check,Paid
2,1,1,1/13/2020,Overtime payments,96362.77,Tech Solutions,Check,Pending
3,1,1,1/10/2020,Overtime payments,127839.94,Tech Solutions,Credit Card,Paid
4,1,2,1/11/2020,Telecommunications,21639.68,Elevator Tech,Check,Paid
5,1,2,1/2/2020,Telecommunications,22172.52,Sanitech Co.,Credit Card,Paid
6,1,3,1/8/2020,Social media marketing,8036.68,Damietta Electric Co.,Credit Card,Paid
7,1,3,1/25/2020,Print advertising,10605.57,Telecom Egypt,Cash,Paid
8,1,4,1/10/2020,Elevator service,9554.18,Office Depot Egypt,Bank Transfer,Paid
9,1,4,1/10/2020,Building maintenance,6100.01,Sanitech Co.,Cash,Paid
10,1,5,1/9/2020,Food supplies,14587.65,Kitchen Equipment Co.,Bank Transfer,Paid
11,1,5,1/18/2020,Food supplies,12670.28,Damietta Electric Co.,Credit Card,Paid
12,1,5,1/9/2020,Food supplies,11022.67,Damietta Electric Co.,Check,Paid
13,1,5,1/28/2020,Food supplies,18923.68,Training Institute,Check,Paid
14,1,6,1/17/2020,Sanitization products,2008.15,Professional Development,Bank Transfer,Paid
15,1,6,1/12/2020,Cleaning chemicals,3752.52,Delta Gas Company,Credit Card,Paid
16,1,6,1/8/2020,Laundry supplies,3486.87,Marketing Solutions Ltd.,Credit Card,Paid
17,1,7,1/4/2020,Liability insurance,3664,Liability Solutions,Credit Card,Paid
18,1,7,1/17/2020,Property insurance,7740.96,Property Guard,Check,Paid
19,1,7,1/26/2020,Liability insurance,3625.66,Cleaning Solutions,Check,Paid
20,1,8,1/8/2020,Hardware purchases,7005.99,Tech Solutions,Cash,Paid
21,1,8,1/26/2020,System upgrades,2762.17,Damietta Electric Co.,Check,Paid
22,1,8,1/11/2020,Software licenses,5850.51,Property Guard,Cash,Paid
23,1,8,1/23/2020,Hardware purchases,5326.57,Cleaning Solutions,Credit Card,Paid
24,1,9,1/6/2020,Training materials,1589.19,Cleaning Solutions,Check,Overdue
25,1,9,1/9/2020,External trainers,1579.45,Insurance Group Egypt,Bank Transfer,Paid
26,1,9,1/18/2020,External trainers,2535.07,Legal Associates,Bank Transfer,Paid
27,1,10,1/27/2020,Accounting services,1730.69,Building Services Co.,Cash,Paid
28,1,10,1/1/2020,Legal fees,2185.24,Kitchen Equipment Co.,Cash,Overdue
29,1,10,1/25/2020,Legal fees,5789.27,Damietta Electric Co.,Check,Paid
30,1,10,1/8/2020,Office supplies,3399.88,Tech Solutions,Cash,Paid
31,1,1,2/22/2020,Overtime payments,85867.49,Marketing Solutions Ltd.,Credit Card,Paid
32,1,1,2/15/2020,Staff salaries,126547.15,Education Plus,Bank Transfer,Paid
33,1,1,2/4/2020,Staff salaries,135332.4,Creative Agency,Credit Card,Pending
34,1,2,2/13/2020,Telecommunications,7847.84,HVAC Systems Ltd.,Check,Paid
35,1,2,2/4/2020,Electricity bill,10619.96,Damietta Electric Co.,Credit Card,Paid
36,1,2,2/20/2020,Water bill,11381.96,Damietta Electric Co.,Credit Card,Paid
37,1,2,2/8/2020,Electricity bill,14390.41,Delta Gas Company,Check,Overdue
38,1,3,2/22/2020,Social media marketing,7555.5,Municipal Water Authority,Cash,Paid
39,1,3,2/3/2020,Promotional materials,6174.01,Legal Associates,Check,Paid
40,1,3,2/23/2020,Online advertising,5349.75,Software Corp.,Credit Card,Paid
41,1,3,2/5/2020,Print advertising,7665.85,Telecom Egypt,Cash,Paid
42,1,4,2/7/2020,HVAC maintenance,9574.11,Delta Gas Company,Cash,Paid
43,1,4,2/8/2020,Equipment repair,2909.12,Sanitech Co.,Bank Transfer,Paid
44,1,4,2/23/2020,Elevator service,5793.18,Creative Agency,Cash,Paid
45,1,5,2/5/2020,Restaurant supplies,24839.45,Sanitech Co.,Bank Transfer,Paid
46,1,5,2/14/2020,Beverage purchases,16749.8,Property Guard,Bank Transfer,Paid
47,1,5,2/25/2020,Restaurant supplies,10019.59,Certification Center,Bank Transfer,Paid
48,1,6,2/11/2020,Laundry supplies,4329.71,Office Depot Egypt,Cash,Paid
49,1,6,2/19/2020,Housekeeping supplies,4060.69,Restaurant Supply,Bank Transfer,Pending
50,1,6,2/26/2020,Laundry supplies,2051.21,Property Guard,Cash,Paid
51,1,6,2/21/2020,Housekeeping supplies,2796.72,Restaurant Supply,Check,Paid
52,1,7,2/8/2020,Liability insurance,6773.11,HVAC Systems Ltd.,Check,Pending
53,1,7,2/21/2020,Liability insurance,7397.85,Municipal Water Authority,Bank Transfer,Paid
54,1,7,2/25/2020,Liability insurance,6010.9,Damietta Electric Co.,Check,Paid
55,1,7,2/20/2020,Employee insurance,9579.85,Housekeeping Supplies Ltd.,Cash,Pending
56,1,8,2/28/2020,IT support,3179.83,Delta Gas Company,Bank Transfer,Paid
57,1,8,2/22/2020,Software licenses,7807.21,Elevator Tech,Cash,Paid
58,1,8,2/22/2020,Hardware purchases,4247.38,Liability Solutions,Cash,Paid
59,1,8,2/28/2020,Hardware purchases,5861.27,Elevator Tech,Credit Card,Paid
60,1,9,2/8/2020,Certification courses,820.18,Food Distributors Egypt,Cash,Paid
61,1,9,2/7/2020,Certification courses,1785.1,Kitchen Equipment Co.,Credit Card,Overdue
