GuestID,ServiceID,Rating,Comments,FeedbackDate
66,9,3,Fair experience,2023-12-18
2584,8,5,Amazing staff!,2024-02-21
1251,10,2,Poor service,2021-03-13
299,10,4,Nice experience,2022-11-02
3,6,3,Okay service,2020-07-09
2546,8,3,Decent hotel,2025-12-01
227,2,5,Perfect stay!,2023-10-10
2477,7,3,Could be better,2024-09-05
933,5,5,Excellent service!,2022-03-19
1253,9,4,Good value,2025-04-14
1955,12,4,Friendly staff,2022-09-04
2186,10,4,Very good service,2020-08-01
1336,14,2,Disappointing,2022-08-12
883,6,1,Terrible experience,2021-08-08
2206,9,5,Perfect stay!,2022-09-19
103,13,4,Friendly staff,2023-11-08
1863,9,5,Highly recommend!,2020-02-03
2549,8,5,Excellent service!,2025-11-10
152,2,4,Good value,2022-12-31
2485,9,5,Outstanding experience!,2024-11-29
1495,14,5,Perfect stay!,2022-03-14
2923,1,2,Not satisfied,2024-01-09
2488,11,2,Disappointing,2021-02-22
1340,8,1,Extremely disappointed,2025-09-05
1777,6,5,Highly recommend!,2025-01-08
1845,14,4,Nice experience,2023-01-24
1537,3,5,Amazing staff!,2023-07-22
201,12,2,Not satisfied,2025-09-10
310,4,4,Friendly staff,2025-05-24
2777,7,2,Poor service,2024-09-06
767,7,1,Extremely disappointed,2025-03-09
2972,9,4,Good value,2025-10-02
879,9,4,Friendly staff,2020-08-27
2650,7,4,Great hotel!,2025-10-25
1602,7,5,Perfect stay!,2025-03-21
1167,4,4,Nice experience,2023-01-28
1008,12,4,Very good service,2020-11-02
2256,12,3,Okay service,2023-03-06
1040,11,4,Good value,2021-10-29
1670,9,4,Very good service,2022-02-20
344,4,4,Great hotel!,2023-12-21
106,14,5,Amazing staff!,2023-09-04
2879,12,4,Good value,2020-01-26
2818,13,5,Excellent service!,2020-01-08
896,10,3,Average stay,2022-08-21
2472,5,3,Okay service,2023-05-07
1562,11,5,Highly recommend!,2024-04-02
86,1,4,Very good service,2025-02-03
2969,2,5,Highly recommend!,2021-12-01
104,4,4,Nice experience,2024-04-15
2321,3,2,Below expectations,2023-11-07
1174,14,4,Very good service,2023-07-26
340,12,5,Highly recommend!,2020-02-29
1313,7,5,Outstanding experience!,2024-11-26
707,1,5,Highly recommend!,2024-09-18
2568,8,3,Could be better,2024-05-11
1859,10,5,Excellent service!,2022-03-05
2451,7,2,Disappointing,2021-09-09
1365,14,5,Perfect stay!,2021-05-31
2601,7,2,Not satisfied,2021-04-21
2288,1,3,Decent hotel,2020-09-20
1761,2,4,Nice experience,2022-11-29
1499,6,5,Perfect stay!,2024-04-07
523,10,5,Excellent service!,2022-09-01
2428,8,3,Average stay,2025-04-10
1297,12,4,Great hotel!,2024-07-14
1886,6,1,Very poor,2022-01-10
2010,10,4,Friendly staff,2022-10-24
39,14,5,Excellent service!,2024-05-16
24,14,2,Not satisfied,2023-11-08
1041,4,5,Excellent service!,2022-11-29
429,7,2,Not satisfied,2021-10-17
2309,12,4,Nice experience,2023-12-02
2251,14,3,Fair experience,2024-02-03
1269,2,4,Nice experience,2022-12-29
1077,13,4,Very good service,2024-04-30
689,2,3,Average stay,2020-11-13
1361,12,1,Awful service,2025-04-10
1491,9,4,Very good service,2023-07-26
1438,9,4,Very good service,2023-08-17
2692,3,4,Good value,2025-09-11
2818,2,3,Decent hotel,2021-09-30
2499,5,1,Would not recommend,2024-02-04
2639,11,4,Good value,2021-02-25
2794,2,3,Fair experience,2020-08-11
2825,10,4,Nice experience,2025-05-10
1161,12,3,Fair experience,2021-11-30
878,6,5,Perfect stay!,2024-11-20
2091,11,4,Great hotel!,2022-04-21
1722,15,4,Very good service,2024-07-02
1090,9,4,Great hotel!,2025-09-21
1841,3,4,Friendly staff,2020-10-15
1476,5,2,Below expectations,2020-03-25
1295,8,5,Excellent service!,2022-04-07
219,1,4,Friendly staff,2020-01-16
2011,14,1,Very poor,2025-03-01
287,4,4,Very good service,2021-10-08
77,2,3,Okay service,2023-10-09
2131,9,5,Amazing staff!,2025-12-05
708,14,5,Highly recommend!,2022-06-21
2872,14,3,Average stay,2020-08-10
1679,9,5,Excellent service!,2025-10-31
999,14,3,Okay service,2022-10-29
1139,7,5,Amazing staff!,2020-03-24
1548,11,5,Amazing staff!,2021-08-01
21,6,4,Very good service,2022-07-23
2108,4,3,Okay service,2024-08-16
969,5,3,Average stay,2025-05-10
867,8,5,Amazing staff!,2023-09-10
1566,4,4,Great hotel!,2025-03-30
283,13,2,Needs improvement,2022-01-18
1159,15,5,Amazing staff!,2021-01-21
2455,5,4,Nice experience,2022-12-31
2833,10,4,Very good service,2022-11-26
1325,6,3,Could be better,2025-01-13
911,11,4,Great hotel!,2021-10-12
1332,14,3,Could be better,2022-10-28
1706,8,3,Average stay,2020-04-02
2101,13,4,Very good service,2021-08-06
1124,8,5,Excellent service!,2023-01-16
2291,10,5,Highly recommend!,2025-07-29
1830,3,5,Excellent service!,2021-02-22
1217,6,5,Outstanding experience!,2022-07-27
1321,1,4,Friendly staff,2020-07-14
2598,3,3,Okay service,2021-07-03
820,7,5,Excellent service!,2022-09-24
856,5,2,Not satisfied,2022-04-24
2618,6,5,Amazing staff!,2024-05-24
1167,8,5,Amazing staff!,2024-07-06
2102,7,4,Friendly staff,2021-09-28
2997,12,5,Excellent service!,2021-10-24
688,4,3,Could be better,2020-06-01
334,11,5,Amazing staff!,2020-04-11
384,7,2,Below expectations,2020-10-31
1736,10,4,Very good service,2025-07-12
1242,4,4,Friendly staff,2025-11-16
882,11,4,Good value,2025-03-23
973,8,5,Excellent service!,2021-06-05
2144,15,5,Amazing staff!,2025-12-02
399,3,3,Okay service,2025-08-17
953,1,5,Outstanding experience!,2023-10-14
1849,2,5,Outstanding experience!,2020-02-03
1484,12,4,Friendly staff,2023-08-13
927,14,5,Outstanding experience!,2022-04-19
1277,7,3,Okay service,2023-04-10
1000,13,5,Highly recommend!,2023-04-26
1319,13,4,Great hotel!,2021-03-14
2192,6,1,Terrible experience,2025-05-21
560,3,5,Highly recommend!,2025-10-20
529,13,5,Excellent service!,2024-07-27
2430,10,4,Friendly staff,2020-07-13
2096,10,4,Very good service,2025-07-10
210,1,2,Poor service,2020-01-31
2802,6,4,Nice experience,2023-03-01
73,2,5,Perfect stay!,2023-01-23
2606,15,4,Very good service,2020-12-01
1109,6,5,Excellent service!,2023-10-10
2219,11,2,Needs improvement,2022-03-03
2203,12,4,Friendly staff,2025-11-15
2636,5,4,Great hotel!,2024-06-03
2807,1,4,Very good service,2021-09-28
1771,3,5,Outstanding experience!,2025-04-22
