ServiceUsageID,GuestID,ServiceID,UsageDate,Quantity,UnitCost,TotalCost
1,2903,14,2022-02-08,1,16.16,16.16
2,721,14,2022-10-27,2,12.82,25.64
3,1256,13,2021-02-01,5,18.51,92.56
4,2478,1,2021-04-29,3,25.60,76.81
5,2505,14,2021-06-15,1,13.95,13.95
6,306,7,2024-07-04,1,63.98,63.98
7,174,7,2022-02-16,1,67.64,67.64
8,428,1,2021-05-24,3,26.25,78.74
9,1801,8,2020-02-12,3,14.33,42.99
10,634,8,2022-05-29,4,15.52,62.07
11,874,4,2020-07-13,1,46.30,46.30
12,2476,14,2021-10-05,3,16.64,49.93
13,2311,8,2024-09-07,3,14.93,44.78
14,2206,5,2020-07-13,2,9.11,18.23
15,574,4,2024-07-09,1,49.27,49.27
16,2199,3,2023-09-25,1,50.35,50.35
17,1360,2,2021-03-07,4,32.16,128.63
18,1156,6,2021-02-02,1,86.52,86.52
19,1508,1,2023-03-23,3,23.90,71.70
20,1880,11,2023-06-10,1,27.05,27.05
21,2725,7,2020-01-12,1,61.97,61.97
22,1455,15,2024-08-27,1,42.43,42.43
23,653,6,2024-10-04,1,82.61,82.61
24,1297,11,2025-10-14,1,25.28,25.28
25,1214,11,2023-07-06,1,33.20,33.20
26,2042,3,2023-01-25,2,61.91,123.82
27,807,15,2021-11-30,1,44.11,44.11
28,2326,7,2024-10-08,1,59.79,59.79
29,1956,11,2022-02-09,1,29.35,29.35
30,1770,2,2024-09-10,3,39.52,118.56
31,2359,11,2022-07-17,1,26.52,26.52
32,209,14,2020-10-20,2,13.03,26.07
33,1691,2,2024-02-27,1,34.69,34.69
34,2015,4,2020-10-09,1,84.14,84.14
35,2424,8,2020-10-22,4,14.69,58.74
36,2232,11,2024-10-29,1,32.70,32.70
37,2942,1,2020-08-01,4,25.58,102.33
38,1410,11,2021-12-29,1,31.63,31.63
39,1421,3,2025-07-30,1,60.64,60.64
40,104,1,2021-01-05,2,27.14,54.28
41,1969,5,2022-07-08,5,10.00,50.02
42,1220,9,2023-04-13,1,10.92,10.92
43,1855,12,2023-07-20,6,48.62,291.70
44,624,6,2021-02-09,1,73.50,73.50
45,1602,13,2023-03-03,7,21.85,152.98
46,2442,10,2023-03-10,1,4.46,4.46
47,611,6,2025-08-03,1,75.39,75.39
48,2743,13,2023-02-07,2,18.64,37.29
49,1870,12,2022-08-02,6,45.74,274.42
50,2514,7,2023-12-20,1,66.41,66.41
51,2681,3,2020-08-27,4,59.14,236.57
52,1890,15,2021-06-24,1,40.93,40.93
53,980,6,2025-10-18,1,89.35,89.35
54,463,9,2022-04-30,1,11.70,11.70
55,2586,13,2022-01-25,2,19.10,38.19
56,855,15,2023-10-08,1,48.94,48.94
57,965,10,2020-12-20,1,5.40,5.40
58,1407,2,2022-06-05,3,35.00,104.99
59,96,8,2020-08-30,1,15.87,15.87
60,2965,9,2023-04-30,1,11.32,11.32
61,2494,9,2022-03-04,1,10.60,10.60
62,1250,1,2021-08-20,4,22.70,90.80
63,354,5,2020-11-04,3,8.93,26.79
64,136,6,2021-04-27,1,84.05,84.05
65,2119,4,2020-03-30,1,65.58,65.58
66,1596,6,2025-11-21,1,73.85,73.85
67,1037,14,2024-12-14,4,17.28,69.13
68,1209,1,2021-02-13,4,22.45,89.80
69,2676,6,2020-06-28,1,89.20,89.20
70,916,10,2024-02-04,1,5.75,5.75
71,1181,5,2025-07-27,2,8.91,17.81
72,1206,13,2024-08-21,4,19.70,78.79
73,2890,4,2025-03-25,1,72.02,72.02
74,45,15,2020-01-02,1,46.08,46.08
75,1054,11,2025-10-25,1,26.12,26.12
76,594,9,2025-03-05,1,10.91,10.91
77,1691,10,2022-11-06,1,4.11,4.11
78,1509,11,2025-11-11,1,34.22,34.22
79,4,7,2024-04-21,1,69.65,69.65
80,228,9,2023-02-15,1,9.28,9.28
81,2108,3,2022-03-17,2,57.07,114.13
82,2007,11,2022-12-24,1,31.91,31.91
83,2760,14,2024-11-13,4,13.76,55.02
84,1941,15,2020-12-31,1,46.51,46.51
85,1408,15,2022-09-09,1,41.92,41.92
86,882,10,2022-03-05,1,4.18,4.18
87,1138,12,2025-01-15,1,51.96,51.96
88,653,6,2024-07-13,1,79.63,79.63
89,1809,13,2024-06-26,2,19.89,39.77
90,2665,1,2022-12-04,1,22.05,22.05
91,64,14,2020-03-05,4,17.91,71.64
92,1561,1,2022-01-25,4,23.45,93.82
93,2104,10,2022-09-03,1,4.41,4.41
94,1598,7,2023-06-27,1,68.30,68.30
95,1196,6,2020-02-22,1,84.30,84.30
96,1690,7,2025-05-28,1,64.90,64.90
97,2692,1,2025-01-30,1,23.37,23.37
98,763,8,2023-01-08,10,13.48,134.82
99,1765,9,2025-12-20,1,10.43,10.43
100,202,15,2023-06-19,1,40.84,40.84
101,83,2,2022-02-20,2,32.58,65.15
102,749,9,2021-01-11,1,8.59,8.59
103,2638,4,2021-04-09,1,57.96,57.96
104,2517,11,2024-07-25,1,25.64,25.64
105,2496,5,2023-08-16,4,8.98,35.94
