ShiftID,EmployeeID,ShiftDate,StartTime,EndTime,DepartmentID,ShiftType,HoursWorked,OvertimeHours,Status
1,33,2020-01-01,06:00,14:00,1,Morning,9.0,1,Completed
2,49,2020-01-01,06:00,14:00,1,Morning,11.0,3,Missed
3,57,2020-01-01,14:00,22:00,1,Evening,6.0,0,Completed
4,73,2020-01-01,14:00,22:00,1,Evening,8.0,0,Completed
5,25,2020-01-01,22:00,06:00,1,Night,8.0,0,Missed
6,73,2020-01-01,22:00,06:00,1,Night,8.0,0,Completed
7,50,2020-01-01,06:00,14:00,2,Morning,8.0,0,Completed
8,10,2020-01-01,06:00,14:00,2,Morning,8.0,0,Scheduled
9,66,2020-01-01,06:00,14:00,2,Morning,8.0,0,Completed
10,74,2020-01-01,06:00,14:00,2,Morning,8.0,0,Completed
11,58,2020-01-01,14:00,22:00,2,Evening,10.0,2,Completed
12,98,2020-01-01,14:00,22:00,2,Evening,8.0,0,Completed
13,82,2020-01-01,14:00,22:00,2,Evening,8.0,0,Completed
14,10,2020-01-01,14:00,22:00,2,Evening,6.0,0,Completed
15,34,2020-01-01,22:00,06:00,2,Night,8.0,0,Scheduled
16,42,2020-01-01,22:00,06:00,2,Night,8.0,0,Scheduled
17,90,2020-01-01,22:00,06:00,2,Night,8.0,0,Completed
18,66,2020-01-01,22:00,06:00,2,Night,8.0,0,Missed
19,83,2020-01-01,06:00,14:00,3,Morning,5.0,0,Completed
20,51,2020-01-01,06:00,14:00,3,Morning,12.0,4,Completed
21,35,2020-01-01,06:00,14:00,3,Morning,8.0,0,Completed
22,67,2020-01-01,14:00,22:00,3,Evening,8.0,0,Completed
23,83,2020-01-01,14:00,22:00,3,Evening,8.0,0,Completed
24,43,2020-01-01,14:00,22:00,3,Evening,8.0,0,Completed
25,11,2020-01-01,22:00,06:00,3,Night,6.0,0,Completed
26,83,2020-01-01,22:00,06:00,3,Night,8.0,0,Completed
27,75,2020-01-01,22:00,06:00,3,Night,9.0,1,Missed
28,12,2020-01-01,06:00,14:00,4,Morning,8.0,0,Completed
29,36,2020-01-01,14:00,22:00,4,Evening,8.0,0,Completed
30,84,2020-01-01,22:00,06:00,4,Night,8.0,0,Completed
31,85,2020-01-01,06:00,14:00,5,Morning,8.0,0,Scheduled
32,45,2020-01-01,06:00,14:00,5,Morning,8.0,0,Completed
33,77,2020-01-01,14:00,22:00,5,Evening,8.0,0,Missed
34,85,2020-01-01,14:00,22:00,5,Evening,8.0,0,Scheduled
35,21,2020-01-01,22:00,06:00,5,Night,8.0,0,Missed
36,85,2020-01-01,22:00,06:00,5,Night,8.0,0,Completed
37,6,2020-01-01,06:00,14:00,6,Morning,8.0,0,Completed
38,62,2020-01-01,06:00,14:00,6,Morning,8.0,0,Completed
39,62,2020-01-01,14:00,22:00,6,Evening,8.0,0,Completed
40,14,2020-01-01,14:00,22:00,6,Evening,12.0,4,Completed
41,94,2020-01-01,22:00,06:00,6,Night,8.0,0,Missed
42,6,2020-01-01,22:00,06:00,6,Night,11.0,3,Completed
43,15,2020-01-01,06:00,14:00,7,Morning,8.0,0,Completed
44,55,2020-01-01,14:00,22:00,7,Evening,11.0,3,Missed
45,63,2020-01-01,22:00,06:00,7,Night,11.0,3,Completed
46,16,2020-01-01,06:00,14:00,8,Morning,8.0,0,Completed
47,96,2020-01-01,06:00,14:00,8,Morning,10.0,2,Completed
48,8,2020-01-01,06:00,14:00,8,Morning,11.0,3,Completed
49,8,2020-01-01,14:00,22:00,8,Evening,12.0,4,Completed
50,64,2020-01-01,14:00,22:00,8,Evening,8.0,0,Completed
51,32,2020-01-01,14:00,22:00,8,Evening,8.0,0,Scheduled
